Year,Date,Time,Location,Operator,Flight,Route,AC Type,Registration,Aboard passengers,Aboard Crew,Casualty Passenger,Casuality Crew,Ground,Summary
2016,19/May,249,Egyptian coast,EgyptAir,804,Paris - Cairo,Airbus A320-232,SU-GCC,56,10,56,10,0,The plane was en route from Paris to Cairo. flying at an altitude of 38.000 ft. when it made a sharp 90 degree turn to the left. followed by a 360 degree turn to the right as it lost altitude. The aircraft crashed into the Mediterranean Sea approximately 175 miles off the Egyptian coast. Two days after the accident. it is confirmed that ACARS messages reported smoke on board. apparently in the lavatory and also in a technical compartment located under the cockpit.The most likely cause was that a fire broke out in the cockpit while the aircraft was flying at its cruise altitude and that the fire spread rapidly resulting in the loss of control of the aircraft.
2016,22/Jul,,Bay of Bengal,Indian Air Force,,Chennai - Port Blair,Antonov 32,K2743,23,6,23,6,0,The aircraft was taking part in fire fighting in the region of Bayanday. when under unknown circumstances. it impact trees and crashed in a wooded area.
2016,30/Jul,742,Lockhart. Texas,Heart of Texas Hot Air Balloon Rides,,Sightseeing Fentress Airpark,Kubicek BB85Z Hot Air Balloon,N2469L,15,1,15,1,0,The hot air balloon struck power lines and crashed in a field. The pilot was likely impaired by opioids and sedatives when he ignored weather warnings and flew the ride into a power line.
2016,05/Aug,1238,Dubai. United Arab Emirates,Emirates,521,Thiruvanthapuram. India - Dubai. UAE,Boeing 777-31H,A6-EMW,282,18,0,0,1,After being cleared to land. the crew informed Dubai tower they were going around. Immediately after being cleared to go-around. the aircraft impacted the runway. losing an engine and catching fire. The plane slid to a stop and all aboard evacuated the plane safely. One fire fighter was killed while fighting the fire.
2016,31/Aug,1100,Russian Mission. Alaska,Hageland Aviiation,3190,Russian Mission - Marshall,Cessna 208 Grand Caravan,N752RV,4,1,4,1,0,A midair collision occurred between a Cessna 208 and a Piper PA-18 Super Cub just northwest of Russian Mission Airport. Three on the Cessna and 2 on the Piper were fatally injured. Rough terrain complicated removal of the victims.
2016,24/Oct,720,Malta International Airport,AE Aviation,,Malta-Luqa - Malta-Luga,Swearingen SA277-AT Expditer,N577MX,3,2,3,2,0,Shortly after taking off. the plane banked to the right. lost altitude and impacted the ground just past the airport. French ministry officials on board were attempting to trace routes of illicit trafficking both human and drug. leaving Libya.
2016,28/Nov,2200,La Union. Colombia,LAMIA Bolivia,2933,Santa Cruz. Bolivia - Medellin.Colombia,Avro RJ-85,CP-2933,68,9,64,7,0,The crew of the chartered passenger jet declared an emergency as it approached La Union. reporting they ran out of fuel and had an electrical failure. Soon after the plane impacted mountainous terrain approximately 22 miles south of Medellin. Members of the Brazilian Chapecoense soccer team were among those killed. Among the errors made which caused the crash were the decisions to let the plane take off without enough fuel to make the flight safely and then to not stop midway to refuel. The pilot also did not report the plane's emergency until it was too late. In addition. as the fuel was running out. they extended the flaps and gear just before the engines stopped. but this caused enough drag that they could no longer glide to the airport. Since the captain was part owner of the small airline. he was motivated to cut fuel costs because the company was in financial trouble.
2016,03/Dec,1122,Tanjung Pinang. Indonesia,Indonesian Police,,Pangkal Pinang - Batam Island,M28 Skytruck,P-4201,8,5,8,5,0,The Indonesian police aircraft crashed in the waters off Kabupaten Lingga. Riau Islands during a 1.5 hour scheduled flight.
2016,18/Dec,610,Wamena. Papua. Indonesia,Indonesian Air Force,,Timika - Wamena,Lockheed C-130H Hercules,A-1134,10,3,10,3,0,The military plane crashed into mountainous terrain in an eastern section of the country while attempting to land at Warmera.
2016,20/Dec,1723,Puerto Carreno. Colombia,Aerosucre Colombia,,Puerto Carreno - Bogota,Boeing 727-2JOF,HK-4544,0,6,0,5,0,After taking off on runway 24. the cargo jet failed to lift off properly. just cleared the perimeter fence. became airborne. turned to the right. lost altitude and crashed in an open field. One engine suffered a flame-out. Inadequate flight planning by the operator of the aircraft. and by the crew. by failure to properly perform dispatch procedures. take-off performance calculations and verification of limitations imposed by operational conditions of the aerodrome according to the configuration of the aircraft.
2016,25/Dec,527,Adar. Russia,Russian Air Force,,Chkalovsky AB - Ader - Latakia,Tupolev 154B-2,RA-85572,84,8,84,8,0,The plane. carrying the Alexandrov Emsemble choir. reporters and service men. made a climbout out of Ader. turned back towards the coastline and crashed into the waters of the Black Sea about a mile offshore. TheThe PIC probably lost spatial orientation while climbing out over ocean.
2016,07/Dec,1620,Havelian. Pakistan,Pakistan International Airlines,661,Chitral - Islamabad,ATR-42-500,AP-BHO,42,6,42,6,0,While en route. the crew made a mayday call reporting they lost one of two engines. Contact was lost and the plane soon after crashed into mountains Abbottabad and Havelian. Fracture of a turbine blade consequent to one procedure anomaly of PIA maintenance.
2015,18/Jan,,Abu al-Duhur. Syria,Syrian Air Force,,Damascus - Abu Adh Dhuhur,Antonov An-26,,35,2,35,2,0,The army transport crashed while attempting to land in fog after hitting electric lines. The Al Nursa front. claimed that it shot down the aircraft.
2015,04/Feb,1055,Taipei. Taiwan,Transasia,235,Taipei - Kinmen,ATR 72-600,B-22816,53,5,39,4,0,After the aircraft took off. it climbed to 1.300 feet. turned left and began losing altitude and speed. It then. banked to 90 degrees. the wingtip striking a taxi on a roadway and crashed into the Keelung River. coming to rest inverted. The torque censor in the right engine malfunctioned. feathering the engine. The pilot then mistakenly throttled down a still-running left engine. The plane without power. lost altitude and crashed. Pilot error.
2015,09/Mar,,Villa Castelli. Argentina,Private,,Filiming,Both Eurocopter AS350B3,LQ-CGK - LQ-FJQ,8,2,8,1,0,Three French sports figures. Florence Arthaud. Camille Muffat and Alexis Vastine. participating in the French reality show Droped. were killed along with seven other people when the two helicopters filming the show collided. Five killed on each helicopter
2015,24/Mar,1053,Digne-Les-Bains. France,Germanwings,9525,Barcelona. Spain - Dusseldorf. Germany,Airbus A320-211,D-AIPX,144,6,144,6,0,The jetliner crashed in a remote mountainous area of southern France. The plane was obliterated with no wreckage larger than a small car. According to a flight tracker. the plane fell from 38.000 ft. to 11.400 ft. in eight minutes. The aircraft impacted the ground at a high rate of speed. The copilot locked the captain out of the cockpit and deliberately put the plane into a controlled descent until it impacted the ground.
2015,25/Jun,1343,Ella Lake. Alaska,Promech Air,,Sightseeing,de Havilland DHC-3T Vazar TurbineOtter,N270PA,8,1,8,1,0,The Twin Otter crashed while on a sightseeing tour carrying cruise ship passengers. The plane impacted a granite rock face cliff Ella Lake. about 25 miles northeast of Ketchikan. The pilot’s decision to continue visual flight into an area of instrument meteorological conditions. which resulted in his geographic disorientation and controlled flight into terrain.
2015,30/Jun,1148,Medan. Indonesia,Military - Indonesian Air Force,,Medan - Tanjung Pinang. Sumatra.,Lockheed C130-B Hercules,A-1310,110,12,110,12,19,The military transport crashed shortly after taking off from Soewondo Air Base. Two minutes into the flight. the crew radioed they were having engine problems and returning to the airport. Soon after. the plane went down in a populated area. hitting two empty buildings. The plane was carrying civilian relatives of military personnel.
2015,31/Jul,,Agustin Codazzi. Colombia,Military - Colombia Air Force,,Palenque - Valledupar,CASA CN-235-100,FAC1261,0,11,0,11,0,The military transport crashed while en route after the crew reported engine problems. The weather was reported to be poor at the time of the crash.
2015,12/Aug,845,Ninia. Indonesia,Komala Air,,Wamena - Ninia,Pacific Aerospace,PK-KIG,4,2,0,1,0,Strong winds forced the crew to enter a holding pattern for 40 minutes. While attempting to land. the pilot touched down half-way down the runway and was unable to stop within the remaining distance. The plane overran the runway and went down an embankment before coming to rest. The copilot was killed.
2015,16/Aug,1455,Oksibil. Papua. Indonesia,Trigana Air Service,267,Jayapura - Oksibil,ATR 42-300,PK-YRN,49,5,49,5,0,The passenger plane crashed into Tangok mountain located in a remote area of Papua's eastern most province. There was no distress call from the aircraft. High winds and heavy rain was reported in the accident area. The deviation from the visual approach guidance in visual flight rules without considering the weather and terrain condition. with no or limited visual reference to the terrain. The habit of turning off the ground warning system. Inaccurate navigation charts
2015,05/Sep,1908,Dioubel. Senegal,Senegalair,71,Ouagadougou - Dakar,Hawker Siddeley HS-125,6V-AIM,5,2,5,2,0,The air ambulance went missing while on a medical flight. Seven people were on board. including two pilots from Algeria. a flight engineer from Congo. three Senegalese medical crew and a French patient. The collision is due to 6V-AIM's non-compliance with its flight level.
2015,15/Sep,624,East Wind Lake. Alaska,Rainbow King Lodge,,Iliamna - Remote lake,de Havilland Canada DHC 3T Turbine Otter,N928PK,6,1,3,0,0,While on the way to a remote fishing site. the non-sceduled passenger float plane crashed in trees as it attempted to take off. Three of the passengers were killed. The pilot's decision to depart in dark night. visual meteorological conditions over water. which resulted in his subsequent spatial disorientation and loss of airplane control.
2015,02/Oct,19,Jalalabad. Afghanistan,Military - U.S. Army,,Jalalabad - Bagram,Lockheed C-130J Hercules,Aug/74,5,6,5,6,2,The military transport crashed while taking off from Jalalabad Airport. Five crew members. 5 passengers and 2 on the ground were killed. The MP’s placement of the hard-shell NVG case in front of the yoke blocking forward movement of the flight controls. the distractions experienced by the MP and MCP during the course of the ERO. and the misidentification of the malfunction once airborne.
2015,02/Oct,1429,Masamba. Indonesia,Avistar Mandari ,7503,Masamba - Makassar,de Havilland DHC-6 Twin Otter,PK-BRM,7,3,7,3,0,The aircraft went missing minutes after talking off from the airport. Seven passengers and three crew were on board. Wreckage was located on Mount Latimojong. Deviation from the company visual route without properly considering the elevated risks of cruising altitude lower than the highest terrain and instrument meteorological condition in addition with the absence of the EGPWS warning resulted in the omission of avoidance actions.
2015,31/Oct,830,Ilaga. Indonesia,Trigana Air Service,,Timik - Ilaga,de Havilland DCH-4T Caribou,PK-SWW,0,4,0,4,0,The cargo plane carrying construction materials. hit the slope of a mountain in Iiaga Pass. 12 km south of Ilaga airport and disintegrated upon impact.
2015,31/Oct,613,Hasna. Egypt,Metrojet,9268,Sharm el Sheikh - St. Petersburg,Airbus A321-231,EI-ETJ,217,7,217,7,0,Approximate 25 minutes after taking off from Sharem el Sheikh airport. radar contact was lost with the airliner. Wreckage was found Hasna in the north Sinai. The aircraft was flying at about 30.000 feet when contact with the plane was lost. The aircraft was brought down by a homemade explosive device in the left rear cargo hold. The improvised device was equivalent to 2.2 lbs of TNT.
2015,04/Nov,900,Juba. South Sudan,Allied Services Limited ,,Juba - Paloich,Antonov 12BK,EY-406 ,38,5,37,4,0,The cargo plane had just taken off from Juba Airport when it had difficulty gaining altitude and crashed into a hill about half a mile east of Runway 13. South Sudan Authorities reported the aircraft was unable to climb because it was overload. and the captain reported to ATC prior to departure he was carrying 12 passengers.
2015,21/Nov,1155,Fox Glacier. New Zealand,Alpine Adventures,,Sightseeing,Aerospatiale AS 350B2 Ecureuil,ZK-HKU,6,1,6,1,0,The sightseeing helicopter crashed into a crevasse on Fox Glacier. The wreckage site was 2. 500 feet up the valley with debris scattered across hundreds of feet.
2015,24/Nov,1015,Igarka. Russia,Turuhan Avia,,Igarka - Krasniy,Mil MI-8T,RA-2561,22,4,13,2,0,Contact with the helicopter. which was heading to an oil pumping station. was lost 15 minutes after taking off. One of the pilots and a mechanic were among the crew members killed.
2014,20/Jan,1634,Petreasa Romania,Scoala Superioara de Aviatie Civla,,Bucharest - Oradea,Britten Norman BN-2A-27 Islander,YR-BNP,5,2,1,1,0,The air ambulance left Bucharest with a medical team to obtain transplant organs. After experiencing problems with the engines the pilot attempted to make an emergency landing but crashed on a hillside in deep snow. All aboard initially survived but the pilot and a medical student died before the rescue party reached the aircraft.
2014,11/Feb,1159,Ain Kercha. Algeria,Military - Algerian Air Force,,Tamanrasset - Constatine,Lockheed C-130H-30 Hercules,7T-WHM,73,4,72,4,0,The military transport crashed into a mountainous region approximaely 30 miles southeast of Constatine Airport. Unfavorable weather conditions and storms accompanied by snow were reported in the area. The aircraft was too low on approach and hit the slope of mount Djebel Ta Fertas.
2014,16/Feb,1315,Sandhikharka. Nepal,Nepal Airlines,183,Kathmandu - Pokhara - Jumla,de Havilland Canada DHC-6 Twin Otter 300,9N-ABB ,15,3,15,3,0,The passenger plane crashed into a snow covered mountain and burst into flames while en route from Pokhara to Jamia. Weather was poor at the time of the accident. The PIC lost situation awareness while cruising in IMC. causing the aircraft to collide with terrain.
2014,21/Feb,145,Grombalia. Tunisia,Libyan Air Cargo,,Tripoli - Tunis,Antonov 26,5A-DOW ,6,5,6,5,0,The aircraft. carrying a medical team with three patients. was destroyed when it crashed in a field. 20 miles from Tunis-Carthage Airport. The pilot reported an engine on fire prior to the accident.
2014,08/Mar,241,South Indian Ocean,Malaysia Airlines,370,Kuala Lumpur - Beijing,Boeing 777-200,9M-MRO,227,12,227,12,0,Radar contact was lost with the aircraft 2 hours into the flight at 0240. All indications are that the aircraft changed direction from its flight path and crashed in a remote part of the Indian Ocean southwest of Perth Australia. It is assumed all 227 passengers and crew of 12 perished. The cause remains unknown.
2014,18/Mar,752,Seattle. Washington,Helicopters Inc / KOMO TV,,News reporting,Urocopter AS350 B2,N250FB,1,1,1,1,0,The news helicopter crashed and burst into flames shortl after taking off striking three vehicles. One person in one of the vehicles was badly burned. The helicopter Photojournalist Bill Strothman and the pilot were both killed.
2014,19/Apr,1945,Ramos Arizpe. Mexico,Lineas Aereas Comerciales,,Cozumel - Ramos Arizpe,British Aerospace BAe 125-700A Hawker,XA-UKR,6,2,6,2,0,While on approach. in fog. the jet crashed into an park about half-a-mile north of Saltillo-Plan de Guadalupe International Airport.
2014,20/Apr,1530,Jamijarvi. Finland,Suomen Urheiluilmailijat,,Skydiving,Aerocomp Comp Air 8,OH-XDZ,7,1,7,1,0,While carrying skydivers. the experimental plane went into a spin and crashed and burned in a forest. The pilot and two skydivers were able to parachute to safety with minor injuries.
2014,08/May,1245,San Vicente del Caguan. Colombia,Alisansa Colombia,,Villavicencio - Florencia,Douglas DC-3C,HK-4700,0,6,0,6,0,The Cargo plane sruck the side of a mountain about 25 miles north of San Vicente del Caguán while en route. The accident was the result of a controlled flight into terrain. The crew failed to evaluate properly the risks and the danger of poor weather conditions and decided to perform the flight in VFR mode.
2014,17/May,800,Xiang Khouang province. Laos,Laos Air Force,,Vientiane - Xiang Khouang,Antonov 74TK-300,RDPL-34020 ,11,6,10,6,0,The military aircraft crashed in a wooded area while approaching Xiangkhoung's airport. killing 16 people. Among those killed were defense minister Douangchay Phichit and other high ranking officials. For unknown reason. crew was approaching at a too low an altitude.
2014,14/Jun,50,Lugansk. Ukraine,Military - Ukraine Air Force,,Melitopol - Luhansk,Ilyushin 76MD,76777,40,9,40,9,0,The military transport crashed in a wheat field Lugansk Airport after being shot down by anti-aircraft fire.
2014,02/Jul,,Nairobi. Kenya,Skyward International Aviation,,Nairobi - Mogadishu. Somalia,Fokker 50,5Y-CET,0,4,0,4,0,The cargo plane. transporting the mild stimulant known as Khat to the Somali capital. Mogadishu. crashed into a commercial building after taking off from Jomo Kenyatta International Airport. While climbing by night. crew lost control of the aircraft. The probable cause of the accident was the decision by the crew to conduct the flight with a known mechanical problem and their failure to abort or reject the takeoff after receiving twenty-seven cautions.
2014,07/Jul,750,Thach That district. Vietnam,Military - Vietnam People's Army Air Force,,Training,Mil Mi-171,,19,2,18,2,0,The helicopter crashed about 40 km west of Hanoi. 15 minutes after taking off during a parachute training mission.
2014,17/Jul,1619,Hrabove. Ukraine,Malaysia Airlines,17,Amsterdam - Kuala Lumpur,Boeing 777-2H6ER,9M-MRD,283,15,283,15,0,A Boeing 777-200 airliner operating as Malaysia Airlines Flight 17. crashed about 40 miles east of Donetsk. Ukraine. The plane was 90 minutes into its flight. flying at 33.000 feet. when it was apparently hit by a Russian Buk missile. The missile exploded a few feet away from the cockpit .Debris was spread over a wide area. All 283 passengers and crew of 15 were killed.
2014,23/Jul,1906,Magong. Taiwan,TransAsia Airways,222,Kaohsiung - Magong,ATR 72-500,B-22810,54,4,44,4,0,The passenger plane crashed into residential building while attempting to make an emergency landing during inclement weather due to the passing of hurricane Matmo. The flight recorder revealed that after the the crew lost track of its flight path and moved away from the runway. the plane rapidly lost altitude and crashed to the ground in a period of 7.9 seconds. By the time the two pilots yelled to go around. there was nothing they could do to change the velocity and altitude of the plane in time to prevent a crash. The airport's control tower did not inform the aircraft of local weather conditions.The cause was pilot error and a failure within the airline to follow safety procedures. The flight crew did not comply with the published runway 20 VOR non-precision instrument approach procedures at Magong Airport with respect to the minimum descent altitude. The captain. as the pilot flying. intentionally descended the aircraft below the published MDA of 330 feet in the instrument meteorological conditions.
2014,10/Aug,918,Tehran. Iran,Sepahan Airlines,5915,Tehran - Tabas,HESA Iran-140-100,EP-GPA,40,8,31,8,0,After taking off. the passenger banked to the right. lost altitude. and crashed into a residential neighborhood. bursting into flames. The plane appeared to have lost an engine during the takeoff. Excessive load and malfuncioning propeller.
2014,30/Aug,244,Tamanraset. Algeria,Ukraine Air Alliance,,Glascow - Tamanraset - Equitorial Guinea,Antonov An-12BK,UR-DWF,5,2,5,2,0,The cargo plane crashed in the mountainous southeastern region of Algereia. 15 km south of the airport. shortly after taking off.
2014,31/Aug,1945,Mwanza. Tanzania,Safari Express Cargo,,Mwanza - Nairobi,Fokker F-27 MK 500,5Y-SXP,1,2,1,2,0,The cargo plane crashed within the borders of Serengeti National Park not far from the Kenya - Tanzania border. shortly after taking off from Mwanza.
2014,20/Sep,935,Port Moresby. Papua New Guinea,Hevlift,,Woitape - Port Moresby,de Havilland Canada DHC-6 Twin Otter 300,P2-KSV,7,2,2,2,0,While approaching Port Moresby Jacksons International Airport. the unscheduled passenger plane impacted terrain the top of Mt. Lawes. 7 miles east northeast of the airport in poor weather. The crew continued the descent in instrument meteorological conditions without confirming their position. The flight crew’s assessment of their position was incorrect and they had lost situational awareness.
2014,04/Oct,156,Wichita Falls. Texas,Air Evac Lifeteam,,Waurika. OK - Wichita Falls. TX,Bell 206L,,1,3,1,1,0,The air ambulance crashed while transporting a patient from Waurika. Oklahoma to United Regional Health Center. The patient was killed and 3 crew members injured.
2014,28/Dec,300,Uvira. Congo,Air Sirin,902,Bujumbura. Burundi - Pointe Noire. Congo,Antonov An-26,4L-AFS,0,6,0,6,0,The cargo plane impacted a mountainside while en route.
2014,28/Dec,618,Java Sea,AirAsia,8501,Surabaya - Singapore,Airbus A-320-216,PK-AXC,155,7,155,7,0,The aircraft went missing while en route from Suabaya to Singapore. Contact was lost about 40 minutes after taking off. Before contact was lost. the pilot requested a route change due to weather conditions. Preliminary indications are the plane ran into poor weather and stalled from FL320. The rudder travel limiter faulted 3 times during the flight. On the fourth fault the captain decided to try resetting the system by pulling circuit breakers as he had seen a maintenance technician do on the ground. This caused the autopilot to disengage causing the plane to bank 54 degrees. The the first officer. who was flying. became disoriented and was slow to correct the bank. He then put the plane into a steep climb that caused the aircraft to stall and eventually crash. Records show that the plane flew with that mechanical problem for 12 months preceding the accident.
